,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
55,Leningradskiy,RU,69.3833,178.4167,-18.06,98,98,4.97,overcast clouds,2021-12-04 17:19:03
56,Esperance,AU,-33.8667,121.9,57.4,82,3,11.25,clear sky,2021-12-04 17:19:04
57,Avenal,US,36.0041,-120.129,46.45,70,0,1.32,clear sky,2021-12-04 17:19:04
58,Martinsburg,US,39.4562,-77.9639,55.74,51,1,0.0,clear sky,2021-12-04 17:19:04
59,Port Elizabeth,ZA,-33.918,25.5701,64.09,88,90,13.8,overcast clouds,2021-12-04 17:17:06
60,Bangkal,PH,6.0667,121.0667,77.18,88,38,8.88,scattered clouds,2021-12-04 17:19:05
61,Cuamba,MZ,-14.8031,36.5372,83.32,43,21,4.92,few clouds,2021-12-04 17:19:05
62,Wattegama,LK,6.7989,81.4808,74.43,93,17,1.74,few clouds,2021-12-04 17:16:40
63,Jamestown,US,42.097,-79.2353,42.39,69,40,11.99,scattered clouds,2021-12-04 17:17:42
64,Butaritari,KI,3.0707,172.7902,82.4,77,32,16.62,scattered clouds,2021-12-04 17:19:06
65,Saint-Philippe,RE,-21.3585,55.7679,78.39,82,36,10.4,scattered clouds,2021-12-04 17:19:06
66,Longyearbyen,SJ,78.2186,15.6401,21.04,73,75,25.32,light snow,2021-12-04 17:19:06
67,Lodja,CD,-3.4833,23.4333,71.65,96,96,0.45,moderate rain,2021-12-04 17:19:07
68,Bluff,NZ,-46.6,168.3333,58.8,96,54,7.02,broken clouds,2021-12-04 17:19:07
69,Zhigansk,RU,66.7697,123.3711,-14.24,97,100,18.45,light snow,2021-12-04 17:19:07
70,Lavrentiya,RU,65.5833,-171.0,0.52,91,64,7.65,broken clouds,2021-12-04 17:19:08
71,Kavieng,PG,-2.5744,150.7967,82.49,80,49,14.09,scattered clouds,2021-12-04 17:19:08
72,Grindavik,IS,63.8424,-22.4338,32.47,86,75,4.61,broken clouds,2021-12-04 17:19:08
73,Arroyos Y Esteros,PY,-25.0667,-57.1,96.55,17,34,1.45,scattered clouds,2021-12-04 17:19:09
74,Georgetown,MY,5.4112,100.3354,80.89,84,20,4.61,few clouds,2021-12-04 17:19:09
75,Ubinskoye,RU,55.3068,79.6802,25.54,94,100,10.51,overcast clouds,2021-12-04 17:19:10
76,Port Alfred,ZA,-33.5906,26.891,68.18,93,100,20.92,overcast clouds,2021-12-04 17:16:37
77,Faanui,PF,-16.4833,-151.75,80.4,73,76,17.92,light rain,2021-12-04 17:19:10
78,San Francisco,US,37.7749,-122.4194,56.19,81,90,1.01,overcast clouds,2021-12-04 17:16:13
79,Port Augusta,AU,-32.5,137.7667,60.94,61,92,9.04,overcast clouds,2021-12-04 17:19:11
80,San Rafael,AR,-34.6177,-68.3301,65.89,59,98,7.56,overcast clouds,2021-12-04 17:19:11
81,Avarua,CK,-21.2078,-159.775,75.25,94,20,2.3,few clouds,2021-12-04 17:19:11
82,Obsharovka,RU,53.125,48.8531,34.25,94,100,5.79,overcast clouds,2021-12-04 17:19:12
83,Saint-Pierre,RE,-21.3393,55.4781,78.48,84,20,3.44,few clouds,2021-12-04 17:19:12
84,Kishapu,TZ,-3.6167,33.8667,81.34,38,99,11.7,overcast clouds,2021-12-04 17:19:12
85,Kayerkan,RU,69.3497,87.7602,-25.2,97,100,4.99,overcast clouds,2021-12-04 17:19:13
86,Orange Walk,BZ,17.8333,-88.8333,82.26,70,58,5.21,broken clouds,2021-12-04 17:19:13
87,Mahebourg,MU,-20.4081,57.7,79.25,83,20,6.91,few clouds,2021-12-04 17:19:14
88,Provideniya,RU,64.3833,-173.3,13.1,77,17,10.49,few clouds,2021-12-04 17:19:14
89,Vangaindrano,MG,-23.35,47.6,76.55,87,0,9.26,clear sky,2021-12-04 17:19:14
90,Itarema,BR,-2.9248,-39.9167,88.03,57,58,17.05,broken clouds,2021-12-04 17:19:15
91,Ponta Do Sol,PT,32.6667,-17.1,67.12,58,89,9.82,overcast clouds,2021-12-04 17:20:15
92,Sao Filipe,CV,14.8961,-24.4956,77.09,69,95,9.37,overcast clouds,2021-12-04 17:20:15
93,Hami,CN,42.8,93.45,27.05,56,71,0.87,broken clouds,2021-12-04 17:16:56
94,Pontes E Lacerda,BR,-15.2261,-59.3353,86.41,68,100,2.3,overcast clouds,2021-12-04 17:20:16
95,Namibe,AO,-15.1961,12.1522,72.41,67,46,11.03,scattered clouds,2021-12-04 17:20:16
96,Itapirapua,BR,-15.8233,-50.6133,89.08,54,63,4.03,broken clouds,2021-12-04 17:20:17
97,Hamilton,US,39.1834,-84.5333,53.24,59,1,1.99,clear sky,2021-12-04 17:19:36
98,Kagalnitskaya,RU,46.8806,40.1466,49.87,73,100,7.43,overcast clouds,2021-12-04 17:20:17
99,Shumikha,RU,55.2261,63.2961,32.79,88,51,18.14,broken clouds,2021-12-04 17:20:17
100,Ahipara,NZ,-35.1667,173.1667,65.34,91,100,8.52,overcast clouds,2021-12-04 17:20:18
101,Kodoli,IN,16.8833,74.2,68.63,96,6,5.23,clear sky,2021-12-04 17:20:18
102,Ancud,CL,-41.8697,-73.8203,65.73,58,0,8.43,clear sky,2021-12-04 17:20:18
103,Trofors,NO,65.5333,13.4063,24.15,91,14,7.16,few clouds,2021-12-04 17:20:19
104,Chokurdakh,RU,70.6333,147.9167,-39.71,100,87,3.53,overcast clouds,2021-12-04 17:20:19
105,Eyemouth,GB,55.8713,-2.0901,40.84,96,94,26.98,moderate rain,2021-12-04 17:20:20
106,Chuy,UY,-33.6971,-53.4616,72.73,62,100,13.04,overcast clouds,2021-12-04 17:20:20
107,Bairiki,KI,1.3292,172.9752,80.6,83,40,12.66,scattered clouds,2021-12-04 17:20:20
108,Riyadh,SA,24.6877,46.7219,62.74,28,0,5.55,clear sky,2021-12-04 17:17:02
109,Itoman,JP,26.1247,127.6694,64.42,52,75,8.05,broken clouds,2021-12-04 17:20:21
110,Honiara,SB,-9.4333,159.95,77.68,88,89,2.73,overcast clouds,2021-12-04 17:20:21
111,Severo-Kurilsk,RU,50.6789,156.125,32.9,80,91,32.41,light snow,2021-12-04 17:20:21
112,Salamiyah,SY,35.0113,37.0532,57.67,41,100,8.5,overcast clouds,2021-12-04 17:20:22
113,Bredasdorp,ZA,-34.5322,20.0403,66.27,70,99,18.45,light rain,2021-12-04 17:20:22
114,Upernavik,GL,72.7868,-56.1549,10.24,72,99,7.25,overcast clouds,2021-12-04 17:20:22
115,Dunedin,NZ,-45.8742,170.5036,54.81,66,100,3.0,overcast clouds,2021-12-04 17:20:23
116,Tucson,US,32.2217,-110.9265,72.12,36,1,1.01,clear sky,2021-12-04 17:18:54
117,Wewak,PG,-3.5534,143.6268,79.36,88,100,9.24,heavy intensity rain,2021-12-04 17:20:23
118,Coquimbo,CL,-29.9533,-71.3436,64.13,72,20,16.11,few clouds,2021-12-04 17:20:23
119,Soyo,AO,-6.1349,12.3689,73.45,84,96,4.59,overcast clouds,2021-12-04 17:20:24
120,Lebu,CL,-37.6167,-73.65,59.95,63,0,21.14,clear sky,2021-12-04 17:20:24
121,Santana Do Mundau,BR,-9.1681,-36.2222,85.98,41,83,16.06,light rain,2021-12-04 17:20:25
122,Acurenam,GQ,1.0322,10.6488,73.74,86,99,2.1,light rain,2021-12-04 17:18:08
123,Bengkulu,ID,-3.8004,102.2655,75.47,93,100,18.28,light rain,2021-12-04 17:20:25
124,San Quintin,MX,30.4833,-115.95,62.85,74,93,7.96,overcast clouds,2021-12-04 17:20:25
125,West Wendover,US,40.7391,-114.0733,33.01,80,1,0.0,clear sky,2021-12-04 17:20:26
126,Stornoway,GB,58.2093,-6.3865,39.16,85,40,5.99,scattered clouds,2021-12-04 17:20:26
127,Truro,GB,50.2653,-5.0544,43.56,69,91,24.83,overcast clouds,2021-12-04 17:17:30
128,Jiuquan,CN,39.7432,98.5174,30.18,25,26,0.72,scattered clouds,2021-12-04 17:20:27
129,Yulara,AU,-25.2406,130.9889,78.64,31,40,14.97,scattered clouds,2021-12-04 17:20:27
130,Hazorasp,UZ,41.3194,61.0742,35.44,77,99,6.26,overcast clouds,2021-12-04 17:20:27
131,Mmathubudukwane,BW,-24.6,26.4333,80.4,49,74,7.16,broken clouds,2021-12-04 17:20:28
132,Tuatapere,NZ,-46.1333,167.6833,58.82,99,91,4.81,overcast clouds,2021-12-04 17:20:28
133,Dwarka,IN,22.2394,68.9678,76.87,57,0,10.94,clear sky,2021-12-04 17:20:28
134,Stralsund,DE,54.3091,13.0818,39.06,90,100,8.48,overcast clouds,2021-12-04 17:20:29
135,Wanxian,CN,30.8039,108.3897,57.34,65,96,0.22,overcast clouds,2021-12-04 17:20:29
136,Carnarvon,AU,-24.8667,113.6333,73.47,83,0,8.05,clear sky,2021-12-04 17:21:29
137,Pemba,MZ,-12.974,40.5178,83.1,78,20,8.05,few clouds,2021-12-04 17:21:30
138,Baisha,CN,26.5222,110.9311,48.16,60,37,1.77,scattered clouds,2021-12-04 17:21:30
139,Ostrovnoy,RU,68.0531,39.5131,6.26,95,84,4.85,broken clouds,2021-12-04 17:21:30
140,Erzin,TR,36.9559,36.2,55.92,50,100,7.61,overcast clouds,2021-12-04 17:21:31
141,Tuktoyaktuk,CA,69.4541,-133.0374,-23.8,76,1,5.75,clear sky,2021-12-04 17:21:31
142,Cabo San Lucas,MX,22.8909,-109.9124,83.52,66,20,3.0,few clouds,2021-12-04 17:18:06
143,Lethem,GY,3.3803,-59.7968,92.89,42,37,9.06,scattered clouds,2021-12-04 17:21:32
144,Dingle,PH,10.9995,122.6711,71.71,91,89,8.63,overcast clouds,2021-12-04 17:21:32
145,Kodiak,US,57.79,-152.4072,22.51,74,20,5.75,few clouds,2021-12-04 17:21:32
146,Kaitangata,NZ,-46.2817,169.8464,55.22,94,91,4.63,overcast clouds,2021-12-04 17:21:33
147,Karratha,AU,-20.7377,116.8463,87.76,38,21,15.39,few clouds,2021-12-04 17:21:33
148,Sechura,PE,-5.5569,-80.8222,76.66,57,97,9.95,overcast clouds,2021-12-04 17:21:33
149,Garden City,US,42.3256,-83.331,44.6,37,75,5.01,broken clouds,2021-12-04 17:21:34
150,Touros,BR,-5.1989,-35.4608,88.7,63,73,15.68,broken clouds,2021-12-04 17:21:34
151,Agadez,NE,19.75,10.25,72.43,16,27,9.82,scattered clouds,2021-12-04 17:21:34
152,Scarborough,GB,54.2797,-0.4044,40.57,89,70,1.01,broken clouds,2021-12-04 17:19:39
153,Myski,RU,53.709,87.8014,24.01,92,100,8.32,overcast clouds,2021-12-04 17:21:35
154,Meulaboh,ID,4.1363,96.1285,76.87,86,16,3.71,few clouds,2021-12-04 17:21:35
155,Columbus,US,39.9612,-82.9988,49.62,68,40,1.01,scattered clouds,2021-12-04 17:16:53
156,Tiksi,RU,71.6872,128.8694,-21.05,97,100,3.8,overcast clouds,2021-12-04 17:21:31
157,Kassala,SD,15.451,36.4,86.76,24,0,7.72,clear sky,2021-12-04 17:21:36
158,Tahe,CN,52.3333,124.7333,-0.8,98,55,2.04,broken clouds,2021-12-04 17:21:36
159,Manokwari,ID,-0.8667,134.0833,78.48,85,99,3.27,overcast clouds,2021-12-04 17:20:28
160,New Norfolk,AU,-42.7826,147.0587,44.1,64,67,2.62,broken clouds,2021-12-04 17:21:31
161,Diplo,PK,24.4667,69.584,69.67,35,0,4.0,clear sky,2021-12-04 17:21:37
162,Talnakh,RU,69.4865,88.3972,-21.93,98,100,3.47,overcast clouds,2021-12-04 17:21:37
163,Skibbereen,IE,51.55,-9.2667,40.8,65,27,22.93,scattered clouds,2021-12-04 17:21:37
164,Hermanus,ZA,-34.4187,19.2345,67.89,72,100,19.66,light rain,2021-12-04 17:20:20
165,Saint Anthony,US,45.0205,-93.218,34.75,51,20,1.99,few clouds,2021-12-04 17:21:38
166,Vostok,RU,46.4856,135.8833,-12.37,98,47,5.57,scattered clouds,2021-12-04 17:21:38
167,Victoria,HK,22.2855,114.1577,66.38,71,64,1.01,broken clouds,2021-12-04 17:20:47
168,Pontal,BR,-21.0225,-48.0372,91.67,40,16,3.96,few clouds,2021-12-04 17:21:39
169,Montepuez,MZ,-13.1256,38.9997,80.06,49,36,13.18,scattered clouds,2021-12-04 17:21:39
170,Dikson,RU,73.5069,80.5464,-23.15,100,77,4.52,broken clouds,2021-12-04 17:21:39
171,San Isidro,PE,-12.1167,-77.05,69.39,80,90,3.0,overcast clouds,2021-12-04 17:21:40
172,Antalaha,MG,-14.9003,50.2788,76.39,87,8,6.49,light rain,2021-12-04 17:21:40
173,Clyde River,CA,70.4692,-68.5914,12.43,85,100,27.63,light snow,2021-12-04 17:21:40
174,Whitehorse,CA,60.7161,-135.0538,-9.9,75,75,3.0,light snow,2021-12-04 17:20:16
175,Pitimbu,BR,-7.4706,-34.8086,88.39,69,30,12.66,scattered clouds,2021-12-04 17:21:41
176,Oktyabrskiy,RU,54.4815,53.471,36.09,97,100,16.69,overcast clouds,2021-12-04 17:21:41
177,Borger,NL,52.9233,6.7931,41.81,95,100,7.87,overcast clouds,2021-12-04 17:21:42
178,Ust-Kuyga,RU,70.0167,135.6,-39.21,97,85,8.14,overcast clouds,2021-12-04 17:21:42
179,Kloulklubed,PW,7.0419,134.2556,77.5,77,100,10.67,overcast clouds,2021-12-04 17:21:43
180,Sambava,MG,-14.2667,50.1667,77.9,85,15,7.92,light rain,2021-12-04 17:21:43
181,Taoudenni,ML,22.6783,-3.9836,71.28,17,72,14.43,broken clouds,2021-12-04 17:21:43
182,Lufilufi,WS,-13.8745,-171.5986,73.18,76,100,13.87,light rain,2021-12-04 17:22:44
183,Katsuura,JP,35.1333,140.3,48.31,59,1,16.82,clear sky,2021-12-04 17:22:44
184,Agirish,RU,61.9247,63.0231,2.07,95,100,11.95,snow,2021-12-04 17:22:44
185,Blagoyevo,RU,63.3667,47.9167,3.25,78,100,12.75,overcast clouds,2021-12-04 17:22:45
186,Akonolinga,CM,3.7667,12.25,78.67,62,77,1.07,broken clouds,2021-12-04 17:22:45
187,Arinos,BR,-15.9169,-46.1056,85.82,54,85,3.78,light rain,2021-12-04 17:22:45
188,Nikolskoye,RU,59.7035,30.7861,18.01,95,100,4.99,overcast clouds,2021-12-04 17:19:15
189,Rincon,US,32.296,-81.2354,73.58,60,40,6.91,scattered clouds,2021-12-04 17:22:46
190,Srandakan,ID,-7.9386,110.2506,64.72,88,100,3.94,overcast clouds,2021-12-04 17:22:46
191,Puerto Santander,CO,8.3636,-72.4063,89.01,59,85,5.1,overcast clouds,2021-12-04 17:22:47
192,Blackwater,AU,-23.5833,148.8833,74.66,74,5,5.5,clear sky,2021-12-04 17:22:47
193,Hithadhoo,MV,-0.6,73.0833,82.2,77,82,13.42,broken clouds,2021-12-04 17:22:47
194,Taltal,CL,-25.4,-70.4833,68.86,62,12,7.34,few clouds,2021-12-04 17:22:48
195,Ngama,TD,11.7833,17.1667,86.27,19,0,9.66,clear sky,2021-12-04 17:22:48
196,Bambous Virieux,MU,-20.3428,57.7575,79.21,83,20,6.91,few clouds,2021-12-04 17:22:48
197,Harlingen,US,26.1906,-97.6961,82.2,84,75,16.11,broken clouds,2021-12-04 17:19:36
198,Lompoc,US,34.6391,-120.4579,56.12,86,90,3.44,overcast clouds,2021-12-04 17:19:30
199,Torbay,CA,47.6666,-52.7314,33.76,48,40,25.32,scattered clouds,2021-12-04 17:19:18
200,Villazon,BO,-22.0866,-65.5942,59.81,50,95,8.95,overcast clouds,2021-12-04 17:22:49
201,Eureka,US,40.8021,-124.1637,49.57,96,49,0.54,scattered clouds,2021-12-04 17:20:24
202,Kota Kinabalu,MY,5.9749,116.0724,76.98,94,20,3.44,few clouds,2021-12-04 17:22:50
203,Mirnyy,RU,62.5353,113.9611,11.17,89,97,10.8,overcast clouds,2021-12-04 17:18:14
204,Saint-Joseph,RE,-21.3667,55.6167,77.38,83,42,7.87,scattered clouds,2021-12-04 17:22:50
205,Kieta,PG,-6.2167,155.6333,79.07,84,90,3.67,overcast clouds,2021-12-04 17:22:50
206,Margate,GB,51.3813,1.3862,43.03,74,32,3.0,scattered clouds,2021-12-04 17:22:51
207,San Patricio,US,28.017,-97.5169,81.01,65,7,12.17,clear sky,2021-12-04 17:22:51
208,Zalesovo,RU,53.9939,84.7431,18.64,96,100,7.34,overcast clouds,2021-12-04 17:22:51
209,Coahuayana,MX,18.7333,-103.6833,85.48,54,8,3.31,clear sky,2021-12-04 17:22:52
210,Geraldton,AU,-28.7667,114.6,66.61,72,0,8.05,clear sky,2021-12-04 17:22:52
211,Isangel,VU,-19.55,169.2667,77.68,85,96,9.95,overcast clouds,2021-12-04 17:22:52
212,Aripuana,BR,-9.1667,-60.6333,74.86,94,100,2.75,overcast clouds,2021-12-04 17:22:53
213,Qasigiannguit,GL,68.8193,-51.1922,35.85,55,100,33.22,overcast clouds,2021-12-04 17:22:53
214,Xining,CN,36.6167,101.7667,27.1,30,0,2.84,clear sky,2021-12-04 17:22:02
215,Alice Springs,AU,-23.7,133.8833,76.55,29,65,8.05,broken clouds,2021-12-04 17:22:14
216,Bilma,NE,18.6853,12.9164,73.6,13,18,12.24,few clouds,2021-12-04 17:22:54
217,Deputatskiy,RU,69.3,139.9,-39.5,95,20,2.35,few clouds,2021-12-04 17:22:54
218,Cayenne,GF,4.9333,-52.3333,77.04,91,75,4.0,moderate rain,2021-12-04 17:22:55
219,Berlevag,NO,70.8578,29.0864,17.91,81,22,19.64,few clouds,2021-12-04 17:22:55
220,Brae,GB,60.3964,-1.353,37.31,67,100,24.14,overcast clouds,2021-12-04 17:22:55
221,Yumen,CN,40.2833,97.2,30.58,30,82,8.39,broken clouds,2021-12-04 17:18:25
222,Hasaki,JP,35.7333,140.8333,39.6,52,1,22.39,clear sky,2021-12-04 17:22:56
223,Bardiyah,LY,31.7561,25.0865,64.81,45,75,16.53,broken clouds,2021-12-04 17:22:56
224,Vao,NC,-22.6667,167.4833,76.44,85,99,18.01,overcast clouds,2021-12-04 17:22:57
225,Komsomolskiy,UZ,40.4272,71.7189,41.72,65,100,0.0,haze,2021-12-04 17:22:57
226,Belyy Yar,RU,53.6039,91.3903,25.86,63,0,8.95,clear sky,2021-12-04 17:22:57
227,Flin Flon,CA,54.7682,-101.865,4.84,72,75,8.05,light snow,2021-12-04 17:23:58
228,Sakakah,SA,29.9697,40.2064,65.77,36,99,10.16,overcast clouds,2021-12-04 17:23:58
229,Cuajinicuilapa,MX,16.4667,-98.4167,89.01,41,8,2.42,clear sky,2021-12-04 17:22:22
230,Russell,US,32.3502,-85.1999,72.0,84,1,0.0,clear sky,2021-12-04 17:23:28
231,Nassau,US,40.7507,-73.5829,48.87,54,1,1.01,clear sky,2021-12-04 17:23:58
232,Kaeo,NZ,-35.1,173.7833,67.32,96,100,10.42,overcast clouds,2021-12-04 17:23:59
233,Serebryansk,KZ,49.6925,83.2892,11.75,96,50,3.83,scattered clouds,2021-12-04 17:23:59
234,Zyryanka,RU,65.75,150.85,-36.0,99,72,6.85,broken clouds,2021-12-04 17:24:00
235,Sabang,ID,5.8933,95.3214,81.16,76,71,11.36,broken clouds,2021-12-04 17:24:00
236,Hagi,JP,34.4,131.4167,41.86,71,71,3.36,broken clouds,2021-12-04 17:24:00
237,Tenenkou,ML,14.4572,-4.9169,93.13,9,91,7.34,overcast clouds,2021-12-04 17:24:01
238,Tanout,NE,14.9709,8.8879,80.22,12,96,10.56,overcast clouds,2021-12-04 17:24:01
239,San Policarpo,PH,12.1791,125.5072,77.67,82,85,18.5,overcast clouds,2021-12-04 17:24:01
240,Sitka,US,57.0531,-135.33,21.09,86,1,3.44,clear sky,2021-12-04 17:24:02
241,Elizabeth City,US,36.2946,-76.2511,68.02,68,1,7.0,clear sky,2021-12-04 17:24:02
242,Sorland,NO,67.667,12.6934,29.88,59,6,18.14,clear sky,2021-12-04 17:24:02
243,Nioro,GM,13.35,-15.75,98.33,16,88,5.91,overcast clouds,2021-12-04 17:24:03
244,Carauari,BR,-4.8828,-66.8958,90.75,55,65,2.42,broken clouds,2021-12-04 17:24:03
245,Lagoa,PT,39.05,-27.9833,63.97,84,37,13.31,scattered clouds,2021-12-04 17:24:04
246,Ahuimanu,US,21.4447,-157.8378,66.45,75,75,0.0,broken clouds,2021-12-04 17:24:04
247,Nanortalik,GL,60.1432,-45.2371,37.31,76,100,24.76,overcast clouds,2021-12-04 17:24:04
248,Calama,CL,-22.4667,-68.9333,77.49,10,40,19.57,scattered clouds,2021-12-04 17:24:05
249,Mecca,SA,21.4267,39.8261,76.41,63,0,5.19,clear sky,2021-12-04 17:24:05
250,Sukumo,JP,32.9333,132.7333,41.05,76,4,6.24,clear sky,2021-12-04 17:24:05
251,Muli,MV,2.9167,73.5667,82.94,77,55,13.27,broken clouds,2021-12-04 17:24:06
252,Paoua,CF,7.2427,16.4406,83.73,26,26,2.59,scattered clouds,2021-12-04 17:24:06
253,Basco,PH,20.4487,121.9702,73.4,63,100,25.19,overcast clouds,2021-12-04 17:24:07
254,Manono,CD,-7.3,27.4167,80.74,51,77,2.33,broken clouds,2021-12-04 17:24:07
255,Egvekinot,RU,66.3167,-179.1667,-26.03,96,24,5.59,few clouds,2021-12-04 17:24:07
256,Richards Bay,ZA,-28.783,32.0377,73.27,97,100,14.2,heavy intensity rain,2021-12-04 17:19:41
257,Taganak,PH,6.0833,118.3,80.74,81,100,9.82,overcast clouds,2021-12-04 17:24:08
258,Bernalillo,US,35.05,-106.6673,64.27,39,20,3.44,few clouds,2021-12-04 17:24:08
259,Aklavik,CA,68.2191,-135.0107,-21.17,68,1,5.75,clear sky,2021-12-04 17:24:09
260,Cherskiy,RU,68.75,161.3,-20.45,99,100,7.78,overcast clouds,2021-12-04 17:24:09
261,Yarada,IN,17.65,83.2667,79.12,69,75,9.22,broken clouds,2021-12-04 17:24:09
262,Narsaq,GL,60.9167,-46.05,37.62,67,100,16.67,light rain,2021-12-04 17:24:10
